2.51677 2.50893 2.55919 2.50257 2.49746 2.56496 2.51784 2.56856 2.54373 2.55711 2.57143 2.57851 2.54995 2.65942 2.61653 2.64551 2.62726 
2.57486 2.55127 2.61727 2.56259 2.57980 2.62216 2.54008 2.59960 2.57477 2.58028 2.59725 2.60433 2.54812 2.65161 2.60533 2.61069 2.59189 
2.54347 2.52776 2.55824 2.47930 2.56503 2.60145 2.52379 2.55626 2.55312 2.57782 2.58499 2.60245 2.52800 2.61230 2.58230 2.56061 2.55559 
2.46289 2.47814 2.51398 2.44045 2.49917 2.50941 2.45684 2.50790 2.50078 2.56100 2.58391 2.62252 2.57168 2.65058 2.67084 2.65510 2.66489 
2.43104 2.42652 2.46099 2.40127 2.46792 2.46429 2.41418 2.46524 2.44970 2.51646 2.51035 2.52727 2.46466 2.56718 2.60407 2.59619 2.58484 
2.45746 2.47409 2.53749 2.44531 2.49621 2.50641 2.47548 2.52654 2.50702 2.55995 2.54941 2.54917 2.49595 2.59059 2.59197 2.57028 2.54565 
2.40650 2.42002 2.49129 2.43656 2.49055 2.48102 2.45860 2.50430 2.50342 2.54848 2.56751 2.56126 2.49614 2.59866 2.62173 2.62429 2.63526 
2.40441 2.42585 2.52477 2.45680 2.46652 2.44913 2.45464 2.49631 2.50615 2.55996 2.52773 2.52680 2.47550 2.58987 2.59853 2.61244 2.62342 
2.39632 2.42961 2.51717 2.48664 2.51362 2.49623 2.49918 2.52703 2.52649 2.56895 2.56628 2.57667 2.52537 2.61528 2.63777 2.67776 2.64984 
2.43564 2.45913 2.51123 2.50834 2.55446 2.54489 2.51828 2.52699 2.56736 2.63216 2.58074 2.61218 2.52876 2.60485 2.62542 2.67136 2.65323 
2.43236 2.46628 2.48735 2.47914 2.51932 2.52105 2.49189 2.51501 2.54750 2.62017 2.56821 2.61347 2.52469 2.59488 2.66227 2.70353 2.64984 
2.40919 2.44852 2.46515 2.44057 2.45905 2.46619 2.39807 2.43437 2.46097 2.56329 2.50882 2.55752 2.47661 2.53298 2.55762 2.61463 2.57668 
2.38811 2.42798 2.44211 2.40370 2.42498 2.41294 2.40232 2.39524 2.38633 2.48865 2.44012 2.49669 2.42764 2.49729 2.50078 2.57161 2.56268 
2.49626 2.52826 2.52856 2.48228 2.50893 2.47770 2.46709 2.46939 2.43535 2.54554 2.49701 2.54508 2.47697 2.55793 2.55011 2.58317 2.56892 
2.48977 2.47495 2.46738 2.44087 2.45026 2.43541 2.41884 2.42710 2.40092 2.50324 2.47985 2.53579 2.49434 2.56743 2.57343 2.60993 2.60694 
2.50698 2.48684 2.48715 2.46064 2.48921 2.45862 2.44205 2.42861 2.38862 2.50098 2.47759 2.51627 2.47482 2.50516 2.49984 2.52759 2.51673 
2.53778 2.52551 2.51007 2.49738 2.48001 2.47744 2.46820 2.43465 2.39210 2.51828 2.46469 2.48762 2.47721 2.49372 2.44808 2.48119 2.47624 
